uid,date,titre,type_vote,adopte,dossier_ref,nb_votants,pour,contre,abstention
VTANR5L17V6310,2026-05-04,l'amendement n° 365 de Mme Chatelain à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,108,72,5,31
VTANR5L17V6291,2026-05-04,l'amendement n° 151 de Mme Lise Magnier et l'amendement identique suivant à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,94,72,21,1
VTANR5L17V6304,2026-05-04,l'amendement n° 601 de M. Jacobelli à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,115,31,84,0
VTANR5L17V6314,2026-05-04,l'amendement n° 534 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,98,33,61,4
VTANR5L17V6308,2026-05-04,l'amendement n° 338 de Mme Catherine Hervieu à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,104,16,87,1
VTANR5L17V6286,2026-05-04,l'ensemble de la proposition de loi facilitant l'exercice en France des médecins diplômés au Royaume-Uni ayant débuté leurs études avant le Brexit (deuxième lecture).,scrutin public ordinaire,adopté,DLR5L17N53192,72,72,0,0
VTANR5L17V6298,2026-05-04,l'amendement n° 98 de Mme Martinez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,108,30,72,6
VTANR5L17V6300,2026-05-04,l'amendement n° 583 de M. Jacobelli à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,111,32,72,7
VTANR5L17V6306,2026-05-04,l'amendement n° 645 de M. Gonzalez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,118,32,76,10
VTANR5L17V6313,2026-05-04,l'amendement n° 511 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,100,33,65,2
VTANR5L17V6296,2026-05-04,l'amendement n° 514 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,109,29,71,9
VTANR5L17V6315,2026-05-04,l'amendement n° 78 de M. Lenormand à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,101,58,43,0
VTANR5L17V6288,2026-05-04,l'amendement n° 570 de M. Jacobelli à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,78,42,26,10
VTANR5L17V6299,2026-05-04,l'amendement n° 88 de M. Saintoul et l'amendement identique suivant à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,110,52,58,0
VTANR5L17V6292,2026-05-04,l'amendement n° 8 de M. Gosselin à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,87,20,32,35
VTANR5L17V6307,2026-05-04,l'amendement n° 473 de Mme Errante à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,104,33,71,0
VTANR5L17V6290,2026-05-04,l'amendement n° 315 de M. Thiériot et l'amendement identique suivant à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,88,69,19,0
VTANR5L17V6331,2026-05-05,l'amendement n° 89 (rect.) de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,157,24,118,15
VTANR5L17V6317,2026-05-05,"l'amendement n° 1 de M. Rodwell à l'article 8 de la proposition de loi visant à renforcer la sécurité, la rétention administrative et la prévention des risques d'attentat (seconde délibération) (première lecture).",scrutin public ordinaire,adopté,DLR5L17N53284,229,161,67,1
VTANR5L17V6341,2026-05-05,l'amendement n° 122 de M. Lachaud à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,155,52,43,60
VTANR5L17V6328,2026-05-05,l'amendement n° 669 de Mme Florence Goulet à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,152,54,97,1
VTANR5L17V6343,2026-05-05,l'amendement n° 676 de M. Gonzalez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,120,44,72,4
VTANR5L17V6320,2026-05-05,l'amendement n° 18 de Mme Buffet à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,108,53,17,38
